year,tmID,rank,playoff,homeW,homeL,awayW,awayL,confW,confL,min,attend,num_playoff_appearances,total_first_round_won,total_first_round_lost,total_semis_won,total_semis_lost,total_finals_won,total_finals_lost,mean_won,mean_lost,confID_EA,confID_WE
7,NYL,2.5,0,10.5,6.5,7.5,9.5,9.5,10.5,6912.5,170221.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,18.0,16.0,1.0,0.0
7,PHO,5.0,0,10.5,6.5,6.0,11.0,11.5,10.5,6812.5,130220.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,17.5,0.0,1.0
7,SAC,2.5,1,12.5,4.5,9.0,8.0,14.5,7.5,6850.0,146378.5,2.0,2.0,0.0,1.0,1.0,1.0,0.0,21.5,12.5,0.0,1.0
7,SAS,7.0,0,5.5,11.5,2.5,14.5,4.5,17.5,6837.5,138885.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,26.0,0.0,1.0
7,SEA,2.0,1,13.5,3.5,6.5,10.5,13.0,9.0,6825.0,142720.5,2.0,1.0,1.0,1.0,0.0,1.0,0.0,20.0,14.0,0.0,1.0
7,WAS,4.5,1,10.5,6.5,6.0,11.0,9.0,11.0,6875.0,192974.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,16.5,17.5,1.0,0.0
8,CHI,7.0,0,3.0,14.0,2.0,15.0,4.0,16.0,6800.0,57635.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,29.0,1.0,0.0
8,CON,1.0,1,14.0,3.0,12.0,5.0,14.0,6.0,6812.5,124020.0,2.0,2.0,0.0,1.0,1.0,1.0,0.0,26.0,8.0,1.0,0.0
8,DET,3.0,1,13.0,4.0,6.5,10.5,12.5,7.5,6875.0,159404.5,2.0,1.0,1.0,1.0,0.0,1.0,0.0,19.5,14.5,1.0,0.0
8,HOU,3.0,0,11.5,5.5,7.0,10.0,11.0,10.0,6900.0,125631.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,18.5,15.5,0.0,1.0
8,IND,2.5,1,13.0,4.0,8.0,9.0,13.0,7.0,6887.5,132631.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,13.0,1.0,0.0
8,LAS,2.5,0,13.0,4.0,8.0,9.0,13.5,7.5,6812.5,145901.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,13.0,0.0,1.0
8,MIN,6.5,0,9.5,7.5,2.5,14.5,7.5,13.5,6837.5,111484.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,22.0,0.0,1.0
8,NYL,4.0,1,8.5,8.5,6.0,11.0,8.0,12.0,6900.0,163714.5,1.0,0.0,1.0,0.0,0.0,0.0,0.0,14.5,19.5,1.0,0.0
8,PHO,5.0,1,10.5,6.5,6.5,10.5,10.0,11.0,6850.0,125473.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,17.0,0.0,1.0
8,SAC,1.5,1,14.5,2.5,8.5,8.5,13.5,7.5,6837.5,146476.0,2.0,2.0,0.0,2.0,0.0,1.0,1.0,23.0,11.0,0.0,1.0
8,SAS,6.5,1,5.5,11.5,4.5,12.5,6.5,14.5,6800.0,130401.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,1.0
8,SEA,3.0,1,11.5,5.5,7.5,9.5,11.5,9.5,6812.5,148407.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.0,15.0,0.0,1.0
8,WAS,4.5,0,11.5,5.5,5.5,11.5,10.5,9.5,6875.0,152378.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,1.0,0.0
9,ATL,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9,CHI,6.5,0,4.5,12.5,5.0,12.0,5.0,15.0,6886.0,62096.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,24.5,1.0,0.0
9,CON,2.0,1,11.0,6.0,11.0,6.0,12.5,7.5,6875.0,130793.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,22.0,12.0,1.0,0.0
9,DET,1.5,1,13.0,4.0,10.5,6.5,14.0,6.0,6837.5,162595.5,2.0,2.0,0.0,2.0,0.0,1.0,1.0,23.5,10.5,1.0,0.0
9,HOU,4.0,0,9.5,7.5,6.0,11.0,10.5,10.5,6862.5,134701.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,15.5,18.5,0.0,1.0
9,IND,2.5,1,12.0,5.0,9.0,8.0,12.0,8.0,6862.5,128341.5,2.0,1.0,1.0,0.0,1.0,0.0,0.0,21.0,13.0,1.0,0.0
9,LAS,4.0,1,10.0,7.0,7.5,9.5,10.5,10.5,6862.5,144546.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,17.5,16.5,0.0,1.0
9,MIN,6.5,0,7.5,9.5,2.5,14.5,7.0,14.0,6850.0,115270.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,24.0,0.0,1.0
9,NYL,4.5,1,8.5,8.5,5.0,12.0,8.5,11.5,6862.5,151457.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,13.5,20.5,1.0,0.0
9,PHO,3.0,0,11.0,6.0,9.5,7.5,12.5,8.5,6875.0,129162.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,20.5,13.5,0.0,1.0
9,SAC,2.5,1,13.0,4.0,7.0,10.0,11.0,10.0,6912.5,145157.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,20.0,14.0,0.0,1.0
9,SAS,4.0,1,7.5,9.5,9.0,8.0,11.5,9.5,6837.5,127214.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,16.5,17.5,0.0,1.0
9,SEA,4.0,1,10.5,6.5,7.0,10.0,10.5,10.5,6812.5,140608.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,17.5,16.5,0.0,1.0
9,WAS,4.5,0,10.5,6.5,6.5,10.5,10.0,10.0,6875.0,133255.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,17.0,17.0,1.0,0.0
10,ATL,7.0,1,1.0,16.0,3.0,14.0,2.0,18.0,6825.0,141379.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,30.0,1.0,0.0
10,CHI,5.5,0,7.0,10.0,6.0,11.0,8.0,12.0,6923.5,64351.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,1.0,0.0
10,CON,2.5,0,10.5,6.5,9.0,8.0,11.5,8.5,6887.5,132720.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.5,14.5,1.0,0.0
10,DET,1.0,1,13.0,4.0,10.0,7.0,15.0,5.0,6862.5,164203.5,2.0,2.0,0.0,2.0,0.0,1.0,1.0,23.0,11.0,1.0,0.0
10,IND,3.0,1,11.5,5.5,7.5,9.5,12.0,8.0,6912.5,132428.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,19.0,15.0,1.0,0.0
10,LAS,5.0,1,8.5,8.5,6.5,10.5,9.0,12.0,6950.0,154724.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,15.0,19.0,0.0,1.0
10,MIN,6.5,0,8.0,9.0,5.0,12.0,8.0,13.0,6887.5,119741.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,0.0,1.0
10,NYL,3.5,0,10.5,6.5,7.0,10.0,10.5,9.5,6875.0,150819.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,17.5,16.5,1.0,0.0
10,PHO,3.5,1,11.0,6.0,8.5,8.5,12.5,8.5,6837.5,138195.5,1.0,1.0,0.0,1.0,0.0,1.0,0.0,19.5,14.5,0.0,1.0
10,SAC,3.5,0,12.5,4.5,6.0,11.0,10.5,10.5,6875.0,140820.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,18.5,15.5,0.0,1.0
10,SAS,1.5,1,12.0,5.0,10.0,7.0,11.5,9.5,6862.5,132201.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,22.0,12.0,0.0,1.0
10,SEA,3.0,1,14.0,3.0,5.5,11.5,12.0,9.0,6812.5,138028.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,19.5,14.5,0.0,1.0
10,WAS,5.5,1,7.0,10.0,6.0,11.0,7.0,13.0,6862.5,143946.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,21.0,1.0,0.0
