playerID,year,tmID,GP,GS,minutes,oRebounds,dRebounds,dq,PostGP,PostGS,PostMinutes,PostoRebounds,PostdRebounds,PostDQ,Postperformance,performance,points_precision,Postpoints_precision
holdsch01w,10,ATL,5.0,5.0,150.0,9.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.0,68.0,0.0
hollake01w,2,SAC,32.0,32.0,934.0,28.0,42.0,1.0,2.0,2.0,60.0,3.0,5.0,0.0,32.0,374.0,382.0,24.0
hollake01w,3,SAC,32.0,32.0,904.0,30.5,42.0,0.5,3.5,3.5,110.0,2.5,10.5,0.0,59.5,386.5,386.0,47.0
hollake01w,4,DET,32.0,32.0,888.0,30.5,52.0,0.5,2.5,2.5,80.0,1.0,8.0,0.0,43.5,369.5,460.5,35.0
hollake01w,5,HOU,33.0,17.0,798.0,20.0,53.5,0.5,4.0,0.0,77.5,1.0,5.0,0.0,41.5,363.0,435.0,41.5
hollake01w,7,DET,27.0,21.0,703.0,19.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241.0,279.0,0.0
holtam01w,10,CON,34.0,34.0,714.0,37.0,68.0,0.0,3.0,1.0,55.0,4.0,8.0,0.0,24.0,314.0,297.0,31.0
hornbal01w,10,DET,34.0,0.0,747.0,53.0,85.0,1.0,9.0,0.0,220.0,12.0,32.0,0.0,105.0,336.0,283.0,63.0
houstch01w,10,MIN,33.0,0.0,581.0,27.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.0,261.0,0.0
humphta01w,10,MIN,15.0,11.5,254.5,17.5,38.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5,135.0,0.0
humphta01w,10,WAS,15.0,11.5,254.5,17.5,38.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.5,135.0,0.0
irvinsa01w,7,PHO,12.0,0.0,122.0,16.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.0,67.0,0.0
irvinsa01w,8,SAS,9.5,0.0,80.0,9.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.0,47.0,0.0
irvinsa01w,9,SAS,15.0,0.0,83.0,9.0,16.0,0.0,1.5,0.0,4.5,0.0,0.5,0.0,0.5,38.0,45.0,0.0
ivanyda01w,6,SAS,4.0,0.0,34.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,12.0,0.0
ivanyda01w,7,SAS,30.0,14.0,577.0,5.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,112.0,0.0
iveyni01w,3,IND,32.0,26.0,708.0,16.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192.0,174.0,0.0
iveyni01w,4,IND,31.5,24.5,573.5,11.0,30.5,0.0,1.5,0.0,4.5,0.0,0.5,0.0,1.5,155.5,150.5,1.5
iveyni01w,5,IND,29.0,22.0,545.0,5.5,24.5,0.0,1.5,0.0,4.5,0.0,0.5,0.0,1.5,162.5,162.5,1.5
iveyni01w,6,DET,21.0,11.0,415.0,3.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.5,134.0,0.0
iveyni01w,6,PHO,21.0,11.0,415.0,3.5,17.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,124.5,134.0,0.0
jacksde01w,4,CLE,18.0,0.0,143.0,10.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.0,64.0,0.0
jacksde01w,5,IND,26.0,11.0,453.0,23.5,34.5,0.5,1.5,1.5,30.0,1.0,5.0,0.0,10.5,182.0,177.5,18.0
jacksde01w,6,IND,34.0,27.0,783.5,47.0,54.0,2.0,1.5,1.5,30.0,1.0,5.0,0.0,10.5,298.0,321.0,18.0
jacksde01w,7,CHI,34.0,16.0,638.0,47.0,48.0,1.5,2.0,0.0,42.0,2.0,5.0,0.5,18.5,253.5,269.0,14.5
jacksgw01w,5,PHO,33.0,26.0,975.0,86.0,119.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,401.0,0.0
